"word";"text_thread_id";"Yhteensä";"Suomi24 2021–2023: 2021";"Suomi24 2021–2023: 2022";"Suomi24 2021–2023: 2023"
"kala";"1054370";"0.002110932718767077";"0";"0.006890118966516605";"0"
"jauhelihakeitto";"10544182";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kana";"10551855";"0.002110932718767077";"0.006365315811706728";"0";"0"
"jauhelihakeitto";"10567937";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kalja";"1057669";"0.002110932718767077";"0";"0.006890118966516605";"0"
"jäätelö";"10582112";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kani";"10586941";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kala";"10593024";"0.002110932718767077";"0";"0.006890118966516605";"0"
"juusto";"10600288";"0.004221865437534154";"0.012730631623413455";"0";"0"
"juusto";"10600302";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kahvi";"10600302";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kahvi";"10609838";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"1061146";"0.004221865437534154";"0";"0";"0.011662659668371106"
"juustosarvi";"10614989";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauhelihakeitto";"10617315";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"10618964";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kahvi";"10625367";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kala";"10638629";"0.002110932718767077";"0.006365315811706728";"0";"0"
"jauhelihakeitto";"10640359";"0.002110932718767077";"0";"0";"0.005831329834185553"
"juusto";"10640359";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jogurtti";"10640739";"0.004221865437534154";"0";"0";"0.011662659668371106"
"jänis";"10655160";"0.004221865437534154";"0.012730631623413455";"0";"0"
"kahvi";"10669618";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kahvi";"10678436";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kahvi";"10681935";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jälkiruoka";"10681935";"0.004221865437534154";"0";"0";"0.011662659668371106"
"kala";"10688928";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"10693551";"0.004221865437534154";"0";"0.01378023793303321";"0"
"kana";"10693551";"0.004221865437534154";"0";"0.01378023793303321";"0"
"jauhelihakeitto";"10703311";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kananmunan";"10704581";"0.004221865437534154";"0";"0";"0.011662659668371106"
"jauhelihakeitto";"10708996";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kana";"10709454";"0.002110932718767077";"0.006365315811706728";"0";"0"
"jauheliha";"10712649";"0.002110932718767077";"0";"0.006890118966516605";"0"
"jogurtti";"10713928";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kahvi";"10717381";"0.002110932718767077";"0";"0.006890118966516605";"0"
"jauhelihakeitto";"10722752";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kananmunan";"10729769";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kala";"10734830";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kani";"10735066";"0.004221865437534154";"0";"0";"0.011662659668371106"
"kahvi";"1073979";"0.002110932718767077";"0";"0";"0.005831329834185553"
"itu";"10746526";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kalja";"10751183";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kahvi";"1075943";"0.002110932718767077";"0.006365315811706728";"0";"0"
"jänis";"10765690";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kahvi";"10767840";"0.004221865437534154";"0";"0";"0.011662659668371106"
"kahvi";"10780277";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kani";"10782209";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"10786356";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kala";"10789135";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kalja";"10789135";"0.002110932718767077";"0";"0.006890118966516605";"0"
